timestamp,Value (ma),name
18:14:43.245,900.000000,
18:14:43.745,900.000000,
18:14:44.245,900.000000,
18:14:44.745,900.000000,
18:14:45.245,900.000000,
18:14:45.745,900.000000,
18:14:46.245,900.000000,
18:14:46.745,900.000000,
18:14:47.245,900.000000,
18:14:47.745,900.000000,
18:14:48.245,900.000000,
18:14:48.745,900.000000,
18:14:49.245,900.000000,
18:14:49.745,900.000000,
18:14:50.245,900.000000,
18:14:50.745,900.000000,
18:14:51.245,900.000000,
18:14:51.745,900.000000,
18:14:52.245,900.000000,
18:14:52.745,900.000000,
18:14:53.245,900.000000,
18:14:43.171,900.000000,
18:14:43.671,900.000000,
18:14:44.171,900.000000,
18:14:44.671,900.000000,
18:14:45.171,900.000000,
18:14:45.671,900.000000,
18:14:46.171,900.000000,
18:14:46.671,900.000000,
18:14:47.171,900.000000,
18:14:47.671,900.000000,
18:14:48.171,900.000000,
18:14:48.671,900.000000,
18:14:49.171,900.000000,
18:14:49.671,900.000000,
18:14:50.171,900.000000,
18:14:50.671,900.000000,
18:14:51.171,900.000000,
18:14:51.671,900.000000,
18:14:52.171,900.000000,
18:14:52.671,900.000000,
18:14:53.171,900.000000,
18:14:53.671,900.000000,
18:14:43.243,900.000000,
18:14:43.743,900.000000,
18:14:44.243,900.000000,
18:14:44.743,900.000000,
18:14:45.243,900.000000,
18:14:45.743,900.000000,
18:14:46.243,900.000000,
18:14:46.743,900.000000,
18:14:47.243,900.000000,
18:14:47.743,900.000000,
18:14:48.243,900.000000,
18:14:48.743,900.000000,
18:14:49.243,900.000000,
18:14:49.743,900.000000,
18:14:50.243,900.000000,
18:14:50.743,900.000000,
18:14:51.243,900.000000,
18:14:51.743,900.000000,
18:14:52.243,900.000000,
18:14:52.743,900.000000,
18:14:53.243,900.000000,
18:14:53.743,900.000000,
18:14:43.247,900.000000,
18:14:43.747,900.000000,
18:14:44.247,900.000000,
18:14:44.747,900.000000,
18:14:45.247,900.000000,
18:14:45.747,900.000000,
18:14:46.247,900.000000,
18:14:46.747,900.000000,
18:14:47.247,900.000000,
18:14:47.747,900.000000,
18:14:48.247,900.000000,
18:14:48.747,900.000000,
18:14:49.247,900.000000,
18:14:49.747,900.000000,
18:14:50.247,900.000000,
18:14:50.747,900.000000,
18:14:51.247,900.000000,
18:14:51.747,900.000000,
18:14:52.247,900.000000,
18:14:52.747,900.000000,
18:14:53.247,900.000000,
18:14:53.747,900.000000,
18:14:54.247,900.000000,
18:14:54.747,900.000000,
18:14:45.145,900.000000,
18:14:45.645,900.000000,
18:14:46.145,900.000000,
18:14:46.645,900.000000,
18:14:47.145,900.000000,
18:14:47.645,900.000000,
18:14:48.145,900.000000,
18:14:48.645,900.000000,
18:14:49.145,900.000000,
18:14:49.645,900.000000,
18:14:50.145,900.000000,
18:14:50.645,900.000000,
18:14:51.145,900.000000,
18:14:51.645,900.000000,
18:14:52.145,900.000000,
18:14:52.645,900.000000,
18:14:53.145,900.000000,
18:14:53.645,900.000000,
18:14:54.145,900.000000,
18:14:54.645,900.000000,
18:14:55.145,900.000000,
18:14:55.645,900.000000,
18:14:45.215,900.000000,
18:14:45.715,900.000000,
18:14:46.215,900.000000,
18:14:46.715,935.000000,
18:14:47.215,935.000000,
18:14:47.715,935.000000,
18:14:48.215,935.000000,
18:14:48.715,935.000000,
18:14:49.215,935.000000,
18:14:49.715,935.000000,
18:14:50.215,935.000000,
18:14:50.715,935.000000,
18:14:51.215,935.000000,
