timestamp,value,__name__,cpu,instance,job
18:55:59.985,3855624000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:55:59.985,3906094000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:55:59.985,3748966000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:55:59.985,3763304000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
18:55:59.985,3779485000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:55:59.985,3792245000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:55:59.985,3817657000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:55:59.985,3905573000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
18:55:59.985,3814514000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
18:55:59.985,3749058000.000000,node_cpu_scaling_frequency_hertz,8,192.168.2.128:9100,node exporter
18:55:59.985,3857327000.000000,node_cpu_scaling_frequency_hertz,9,192.168.2.128:9100,node exporter
18:56:01.076,3885107000.000000,node_cpu_scaling_frequency_hertz,0,192.168.2.128:9100,node exporter
18:56:01.076,3679253000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:56:01.076,3884814000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:56:01.076,3541434000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:56:01.076,3511353000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
18:56:01.076,3621964000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:56:01.076,3588566000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:56:01.076,3679219000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:56:01.076,3883254000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
18:56:01.076,3554506000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
18:56:01.076,3567425000.000000,node_cpu_scaling_frequency_hertz,8,192.168.2.128:9100,node exporter
18:56:01.076,3519416000.000000,node_cpu_scaling_frequency_hertz,9,192.168.2.128:9100,node exporter
18:56:02.166,3605818000.000000,node_cpu_scaling_frequency_hertz,0,192.168.2.128:9100,node exporter
18:56:02.166,3590767000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:56:02.166,3603576000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:56:02.166,3534091000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:56:02.166,3600444000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
