timestamp,value,__name__,chip,instance,job,sensor
18:55:56.623,30.850000,node_hwmon_temp_celsius,nvme_nvme0,192.168.2.128:9100,node exporter,temp2
18:55:56.623,43.850000,node_hwmon_temp_celsius,nvme_nvme0,192.168.2.128:9100,node exporter,temp3
18:55:56.623,97.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp1
18:55:56.623,95.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp2
18:55:56.623,63.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp3
18:55:56.623,81.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp4
18:55:56.623,63.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp5
18:55:56.623,97.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp6
18:55:56.623,71.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp7
18:55:56.623,96.000000,node_hwmon_temp_celsius,platform_thinkpad_hwmon,192.168.2.128:9100,node exporter,temp1
18:55:56.623,0.000000,node_hwmon_temp_celsius,platform_thinkpad_hwmon,192.168.2.128:9100,node exporter,temp3
18:55:56.623,0.000000,node_hwmon_temp_celsius,platform_thinkpad_hwmon,192.168.2.128:9100,node exporter,temp4
18:55:56.623,0.000000,node_hwmon_temp_celsius,platform_thinkpad_hwmon,192.168.2.128:9100,node exporter,temp5
18:55:56.623,0.000000,node_hwmon_temp_celsius,platform_thinkpad_hwmon,192.168.2.128:9100,node exporter,temp6
18:55:56.623,0.000000,node_hwmon_temp_celsius,platform_thinkpad_hwmon,192.168.2.128:9100,node exporter,temp7
18:55:56.623,0.000000,node_hwmon_temp_celsius,platform_thinkpad_hwmon,192.168.2.128:9100,node exporter,temp8
18:55:56.623,96.000000,node_hwmon_temp_celsius,thermal_thermal_zone0,192.168.2.128:9100,node exporter,temp0
18:55:56.623,96.000000,node_hwmon_temp_celsius,thermal_thermal_zone0,192.168.2.128:9100,node exporter,temp1
18:55:56.623,52.000000,node_hwmon_temp_celsius,thermal_thermal_zone2,192.168.2.128:9100,node exporter,temp0
18:55:56.623,52.000000,node_hwmon_temp_celsius,thermal_thermal_zone2,192.168.2.128:9100,node exporter,temp1
18:55:56.623,40.000000,node_hwmon_temp_celsius,thermal_thermal_zone7,192.168.2.128:9100,node exporter,temp0
18:55:56.623,40.000000,node_hwmon_temp_celsius,thermal_thermal_zone7,192.168.2.128:9100,node exporter,temp1
18:55:57.721,30.850000,node_hwmon_temp_celsius,nvme_nvme0,192.168.2.128:9100,node exporter,temp1
18:55:57.721,30.850000,node_hwmon_temp_celsius,nvme_nvme0,192.168.2.128:9100,node exporter,temp2
18:55:57.721,45.850000,node_hwmon_temp_celsius,nvme_nvme0,192.168.2.128:9100,node exporter,temp3
18:55:57.721,97.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp1
18:55:57.721,95.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp2
18:55:57.721,63.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp3
18:55:57.721,81.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp4
18:55:57.721,63.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp5
18:55:57.721,97.000000,node_hwmon_temp_celsius,platform_coretemp_0,192.168.2.128:9100,node exporter,temp6
