timestamp,value,__name__,instance,job
18:57:11.254,28701.308333,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:12.452,28701.371244,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:13.824,28701.508942,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:15.072,28701.714670,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:16.452,28701.753013,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:17.549,28701.761388,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:18.634,28701.766640,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:19.718,28701.805096,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:20.888,28701.971984,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:22.085,28702.110312,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:23.196,28702.127875,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:24.297,28702.155831,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:25.599,28702.243166,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:26.674,28702.266977,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:27.806,28702.314418,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:28.886,28702.318998,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:29.964,28702.333744,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:31.126,28702.369505,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:32.211,28702.377768,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:33.299,28702.382404,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:34.381,28702.420069,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:36.107,28702.824813,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:37.407,28703.274469,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:38.762,28703.617193,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:40.392,28704.255959,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:41.663,28704.282283,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:43.043,28704.628431,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:44.224,28704.727326,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:45.819,28704.807791,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:47.097,28704.889729,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:48.468,28705.100551,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:49.570,28705.169549,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:51.087,28705.295656,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:52.455,28705.360910,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:53.603,28705.520567,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:54.967,28705.986272,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:56.229,28706.817092,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:57.485,28707.233377,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:57:58.782,28707.699175,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:58:00.086,28708.192907,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:58:01.393,28709.367602,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:58:02.677,28709.697721,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
18:58:03.975,28710.062696,node_pressure_cpu_waiting_seconds_total,192.168.2.128:9100,node exporter
