timestamp,Value (watts),name
18:14:43.245,1168.000000,
18:14:43.745,1168.000000,
18:14:44.245,1168.000000,
18:14:44.745,1168.000000,
18:14:45.245,1168.000000,
18:14:45.745,1168.000000,
18:14:46.245,1168.000000,
18:14:46.745,1168.000000,
18:14:47.245,1168.000000,
18:14:47.745,1168.000000,
18:14:48.245,1168.000000,
18:14:48.745,1168.000000,
18:14:49.245,1168.000000,
18:14:49.745,1168.000000,
18:14:50.245,1168.000000,
18:14:50.745,1168.000000,
18:14:51.245,1168.000000,
18:14:51.745,1168.000000,
18:14:52.245,1168.000000,
18:14:52.745,1168.000000,
18:14:53.245,1168.000000,
18:14:43.171,1168.000000,
18:14:43.671,1168.000000,
18:14:44.171,1168.000000,
18:14:44.671,1168.000000,
18:14:45.171,1168.000000,
18:14:45.671,1168.000000,
18:14:46.171,1168.000000,
18:14:46.671,1168.000000,
18:14:47.171,1168.000000,
18:14:47.671,1168.000000,
18:14:48.171,1168.000000,
18:14:48.671,1168.000000,
18:14:49.171,1168.000000,
18:14:49.671,1168.000000,
18:14:50.171,1168.000000,
18:14:50.671,1168.000000,
18:14:51.171,1168.000000,
18:14:51.671,1168.000000,
18:14:52.171,1168.000000,
18:14:52.671,1168.000000,
18:14:53.171,1168.000000,
18:14:53.671,1168.000000,
18:14:43.243,1168.000000,
18:14:43.743,1168.000000,
18:14:44.243,1168.000000,
18:14:44.743,1168.000000,
18:14:45.243,1168.000000,
18:14:45.743,1168.000000,
18:14:46.243,1168.000000,
18:14:46.743,1168.000000,
18:14:47.243,1168.000000,
18:14:47.743,1168.000000,
18:14:48.243,1168.000000,
18:14:48.743,1168.000000,
18:14:49.243,1168.000000,
18:14:49.743,1168.000000,
18:14:50.243,1168.000000,
18:14:50.743,1168.000000,
18:14:51.243,1168.000000,
18:14:51.743,1168.000000,
18:14:52.243,1168.000000,
18:14:52.743,1168.000000,
18:14:53.243,1168.000000,
18:14:53.743,1168.000000,
18:14:43.247,1168.000000,
18:14:43.747,1168.000000,
18:14:44.247,1168.000000,
18:14:44.747,1168.000000,
18:14:45.247,1168.000000,
18:14:45.747,1168.000000,
18:14:46.247,1168.000000,
18:14:46.747,1168.000000,
18:14:47.247,1168.000000,
18:14:47.747,1168.000000,
18:14:48.247,1168.000000,
18:14:48.747,1168.000000,
18:14:49.247,1168.000000,
18:14:49.747,1168.000000,
18:14:50.247,1168.000000,
18:14:50.747,1168.000000,
18:14:51.247,1168.000000,
18:14:51.747,1168.000000,
18:14:52.247,1168.000000,
18:14:52.747,1168.000000,
18:14:53.247,1168.000000,
18:14:53.747,1168.000000,
18:14:54.247,1168.000000,
18:14:54.747,1168.000000,
18:14:45.145,1168.000000,
18:14:45.645,1168.000000,
18:14:46.145,1168.000000,
18:14:46.645,1168.000000,
18:14:47.145,1168.000000,
18:14:47.645,1168.000000,
18:14:48.145,1168.000000,
18:14:48.645,1168.000000,
18:14:49.145,1168.000000,
18:14:49.645,1168.000000,
18:14:50.145,1168.000000,
18:14:50.645,1168.000000,
18:14:51.145,1168.000000,
18:14:51.645,1168.000000,
18:14:52.145,1168.000000,
18:14:52.645,1168.000000,
18:14:53.145,1168.000000,
18:14:53.645,1168.000000,
18:14:54.145,1168.000000,
18:14:54.645,1168.000000,
18:14:55.145,1168.000000,
18:14:55.645,1168.000000,
18:14:45.215,1168.000000,
18:14:45.715,1168.000000,
18:14:46.215,1168.000000,
18:14:46.715,1167.000000,
18:14:47.215,1167.000000,
18:14:47.715,1167.000000,
18:14:48.215,1167.000000,
18:14:48.715,1167.000000,
18:14:49.215,1167.000000,
18:14:49.715,1167.000000,
18:14:50.215,1167.000000,
18:14:50.715,1167.000000,
18:14:51.215,1167.000000,
18:14:51.715,1167.000000,
18:14:52.215,1167.000000,
18:14:52.715,1167.000000,
18:14:53.215,1167.000000,
18:14:53.715,1167.000000,
18:14:54.215,1167.000000,
18:14:54.715,1167.000000,
18:14:55.215,1167.000000,
18:14:55.715,1167.000000,
18:14:56.215,1167.000000,
18:14:56.715,1167.000000,
18:14:45.214,1168.000000,
18:14:45.714,1168.000000,
18:14:46.214,1168.000000,
18:14:46.714,1167.000000,
18:14:47.214,1167.000000,
18:14:47.714,1167.000000,
18:14:48.214,1167.000000,
18:14:48.714,1167.000000,
18:14:49.214,1167.000000,
18:14:49.714,1167.000000,
18:14:50.214,1167.000000,
18:14:50.714,1167.000000,
18:14:51.214,1167.000000,
18:14:51.714,1167.000000,
18:14:52.214,1167.000000,
18:14:52.714,1167.000000,
18:14:53.214,1167.000000,
18:14:53.714,1167.000000,
18:14:54.214,1167.000000,
18:14:54.714,1167.000000,
18:14:55.214,1167.000000,
18:14:55.714,1167.000000,
18:14:56.214,1167.000000,
18:14:56.714,1167.000000,
18:14:57.214,1167.000000,
18:14:57.714,1167.000000,
18:14:45.213,1168.000000,
18:14:45.713,1168.000000,
18:14:46.213,1168.000000,
18:14:46.713,1167.000000,
18:14:47.213,1167.000000,
18:14:47.713,1167.000000,
18:14:48.213,1167.000000,
18:14:48.713,1167.000000,
18:14:49.213,1167.000000,
18:14:49.713,1167.000000,
18:14:50.213,1167.000000,
18:14:50.713,1167.000000,
18:14:51.213,1167.000000,
18:14:51.713,1167.000000,
18:14:52.213,1167.000000,
18:14:52.713,1167.000000,
18:14:53.213,1167.000000,
18:14:53.713,1167.000000,
18:14:54.213,1167.000000,
18:14:54.713,1167.000000,
18:14:55.213,1167.000000,
18:14:55.713,1167.000000,
18:14:56.213,1167.000000,
18:14:56.713,1167.000000,
18:14:57.213,1167.000000,
18:14:57.713,1167.000000,
18:14:58.213,1167.000000,
18:14:58.713,1167.000000,
18:14:48.160,1167.000000,
18:14:48.660,1167.000000,
18:14:49.160,1167.000000,
18:14:49.660,1167.000000,
18:14:50.160,1167.000000,
18:14:50.660,1167.000000,
18:14:51.160,1167.000000,
18:14:51.660,1167.000000,
18:14:52.160,1167.000000,
18:14:52.660,1167.000000,
18:14:53.160,1167.000000,
18:14:53.660,1167.000000,
18:14:54.160,1167.000000,
18:14:54.660,1167.000000,
18:14:55.160,1167.000000,
18:14:55.660,1167.000000,
18:14:56.160,1167.000000,
18:14:56.660,1167.000000,
18:14:57.160,1167.000000,
18:14:57.660,1167.000000,
18:14:58.160,1167.000000,
18:14:58.660,1167.000000,
18:14:59.160,1167.000000,
18:14:59.660,1167.000000,
18:15:00.160,1167.000000,
18:15:00.660,1167.000000,
18:14:43.101,1168.000000,
18:14:43.601,1168.000000,
18:14:44.101,1168.000000,
18:14:44.601,1168.000000,
18:14:45.101,1168.000000,
18:14:45.601,1168.000000,
18:14:46.101,1168.000000,
18:14:46.601,1168.000000,
18:14:47.101,1167.000000,
18:14:47.601,1167.000000,
18:14:48.101,1167.000000,
18:14:48.601,1167.000000,
