Name,PID,ContainerID,WorkDir
nxf-lQchpnFAzIkrfFZ0eZQQygyi,987113,7db7dc1d96fab02be1db32c2e1328d0c165b05c8cb0af7f3ab7bbe8c7735603c,/storage/nf-core/exec/work/f5/15102e69f835f221aa6860271f4fdb
nxf-GnMDBjqRNO0gkFKeADfRRqE6,987099,877fce024336e8bbe75df4bcb7fadd8c1bce29dae21f3e36ccc7b590f209e93e,/storage/nf-core/exec/work/7c/4a3b9dbd6b20ec7c9ea58296d91644
nxf-e41CXsKPhvm8wMdGPDjq8nob,987784,c12ff265f8d451ca4a03795bbf34822cb99813cc5c680a2a997fa29c1500a1f8,/storage/nf-core/exec/work/97/2425931fe86f75cede2315b515f5e1
nxf-eWodPDCSkyWnmvcEBfJrolRz,988414,c6887c369a877c35aea9112ab06c52ee43ef22655c0c6fb90aab681022df3a79,/storage/nf-core/exec/work/3d/1db50b7313f040c067897bf58dded8
nxf-DwNIAPlW0b2h2bpBQquJDntx,988579,0b242114fb2e671186eec1d29298995e9d25e177e9006635e694b72edcc271e0,/storage/nf-core/exec/work/20/a6032a75bf680394247fccf8d18e21
nxf-fP5p5V3nD7kZ6jHOPDU790Ug,988463,a928b320329c2fed3ef1fc5ce81c15b334637c506f47c8aef643e1228b510f4d,/storage/nf-core/exec/work/3d/e5104a5785f97e10c295ddb29d4370
nxf-IPwhJdq5zWdPd8wQZ0kWTo2F,0,85ade11fb1d0915b90784222eb10a5960559f8296ee46e6db8a4e2a348f241fd,/storage/nf-core/exec/work/c4/6613caba7be5bc31402f9c31e7e40c
nxf-pgeAUgeAdyG1pAqeKDfoPLQq,0,70ffd2e3fd356605b7f4ed243e05ced809050f82bb54cfcdddfa328bc5cc83fb,/storage/nf-core/exec/work/2c/745b91a18d5ce071d2a1d1a50d87f0
nxf-VLCUvCGICV1RSmps7uWgeBEG,0,91b0b6e81fbdd30d881255d17ace6ea109ba184c6edbc465cf9a329574dce220,/storage/nf-core/exec/work/63/0b85b375612f82c3254a9d9e6bbb64
nxf-dPClPcIylRs7uFEUJQnA8HBg,0,0a91a117a60fd2710c4c0f12e4b9a450ac5d25a3dd0555002cbc5ed68882f537,/storage/nf-core/exec/work/3b/9315fdef7ea6513306de0614d1b248
