timestamp,Value (celsius),name
18:14:49.745,48.000000,CPU Temp
18:14:50.245,48.000000,CPU Temp
18:14:50.745,48.000000,CPU Temp
18:14:51.245,48.000000,CPU Temp
18:14:51.745,48.000000,CPU Temp
18:14:52.245,48.000000,CPU Temp
18:14:52.745,48.000000,CPU Temp
18:14:53.245,48.000000,CPU Temp
18:14:43.245,45.000000,CPU_VRM1 Temp
18:14:43.745,45.000000,CPU_VRM1 Temp
18:14:44.245,45.000000,CPU_VRM1 Temp
18:14:44.745,45.000000,CPU_VRM1 Temp
18:14:45.245,45.000000,CPU_VRM1 Temp
18:14:45.745,45.000000,CPU_VRM1 Temp
18:14:46.245,45.000000,CPU_VRM1 Temp
18:14:46.745,45.000000,CPU_VRM1 Temp
18:14:47.245,45.000000,CPU_VRM1 Temp
18:14:47.745,45.000000,CPU_VRM1 Temp
18:14:48.245,45.000000,CPU_VRM1 Temp
18:14:48.745,45.000000,CPU_VRM1 Temp
18:14:49.245,45.000000,CPU_VRM1 Temp
18:14:49.745,45.000000,CPU_VRM1 Temp
18:14:50.245,45.000000,CPU_VRM1 Temp
18:14:50.745,45.000000,CPU_VRM1 Temp
18:14:51.245,45.000000,CPU_VRM1 Temp
18:14:51.745,45.000000,CPU_VRM1 Temp
18:14:52.245,45.000000,CPU_VRM1 Temp
18:14:52.745,45.000000,CPU_VRM1 Temp
18:14:53.245,45.000000,CPU_VRM1 Temp
18:14:43.245,32.000000,SOC_VRM Temp
18:14:43.745,32.000000,SOC_VRM Temp
18:14:44.245,32.000000,SOC_VRM Temp
18:14:44.745,32.000000,SOC_VRM Temp
18:14:45.245,32.000000,SOC_VRM Temp
18:14:45.745,32.000000,SOC_VRM Temp
18:14:46.245,32.000000,SOC_VRM Temp
18:14:46.745,32.000000,SOC_VRM Temp
18:14:47.245,32.000000,SOC_VRM Temp
18:14:47.745,32.000000,SOC_VRM Temp
18:14:48.245,32.000000,SOC_VRM Temp
18:14:48.745,32.000000,SOC_VRM Temp
18:14:49.245,32.000000,SOC_VRM Temp
18:14:49.745,32.000000,SOC_VRM Temp
18:14:50.245,32.000000,SOC_VRM Temp
18:14:50.745,32.000000,SOC_VRM Temp
18:14:51.245,32.000000,SOC_VRM Temp
18:14:51.745,32.000000,SOC_VRM Temp
18:14:52.245,32.000000,SOC_VRM Temp
18:14:52.745,32.000000,SOC_VRM Temp
18:14:53.245,32.000000,SOC_VRM Temp
18:14:43.245,45.000000,VDDIO_VRM Temp
18:14:43.745,45.000000,VDDIO_VRM Temp
18:14:44.245,45.000000,VDDIO_VRM Temp
18:14:44.745,45.000000,VDDIO_VRM Temp
18:14:45.245,45.000000,VDDIO_VRM Temp
18:14:45.745,45.000000,VDDIO_VRM Temp
18:14:46.245,45.000000,VDDIO_VRM Temp
18:14:46.745,45.000000,VDDIO_VRM Temp
18:14:47.245,45.000000,VDDIO_VRM Temp
18:14:47.745,45.000000,VDDIO_VRM Temp
18:14:48.245,45.000000,VDDIO_VRM Temp
18:14:48.745,45.000000,VDDIO_VRM Temp
18:14:49.245,45.000000,VDDIO_VRM Temp
18:14:49.745,45.000000,VDDIO_VRM Temp
18:14:50.245,45.000000,VDDIO_VRM Temp
18:14:50.745,45.000000,VDDIO_VRM Temp
18:14:51.245,45.000000,VDDIO_VRM Temp
18:14:51.745,45.000000,VDDIO_VRM Temp
18:14:52.245,45.000000,VDDIO_VRM Temp
18:14:52.745,45.000000,VDDIO_VRM Temp
18:14:53.245,45.000000,VDDIO_VRM Temp
18:14:43.245,28.000000,DIMMA~C Temp
18:14:43.745,28.000000,DIMMA~C Temp
18:14:44.245,28.000000,DIMMA~C Temp
18:14:44.745,28.000000,DIMMA~C Temp
18:14:45.245,28.000000,DIMMA~C Temp
18:14:45.745,28.000000,DIMMA~C Temp
18:14:46.245,28.000000,DIMMA~C Temp
18:14:46.745,28.000000,DIMMA~C Temp
18:14:47.245,28.000000,DIMMA~C Temp
18:14:47.745,28.000000,DIMMA~C Temp
18:14:48.245,28.000000,DIMMA~C Temp
18:14:48.745,28.000000,DIMMA~C Temp
18:14:49.245,28.000000,DIMMA~C Temp
18:14:49.745,28.000000,DIMMA~C Temp
18:14:50.245,28.000000,DIMMA~C Temp
18:14:50.745,28.000000,DIMMA~C Temp
18:14:51.245,28.000000,DIMMA~C Temp
18:14:51.745,28.000000,DIMMA~C Temp
18:14:52.245,28.000000,DIMMA~C Temp
18:14:52.745,28.000000,DIMMA~C Temp
18:14:53.245,28.000000,DIMMA~C Temp
18:14:43.245,31.000000,DIMMD~F Temp
18:14:43.745,31.000000,DIMMD~F Temp
18:14:44.245,31.000000,DIMMD~F Temp
18:14:44.745,31.000000,DIMMD~F Temp
18:14:45.245,31.000000,DIMMD~F Temp
18:14:45.745,31.000000,DIMMD~F Temp
18:14:46.245,31.000000,DIMMD~F Temp
18:14:46.745,31.000000,DIMMD~F Temp
18:14:47.245,31.000000,DIMMD~F Temp
18:14:47.745,31.000000,DIMMD~F Temp
18:14:48.245,31.000000,DIMMD~F Temp
18:14:48.745,31.000000,DIMMD~F Temp
18:14:49.245,31.000000,DIMMD~F Temp
18:14:49.745,31.000000,DIMMD~F Temp
18:14:50.245,31.000000,DIMMD~F Temp
18:14:50.745,31.000000,DIMMD~F Temp
18:14:51.245,31.000000,DIMMD~F Temp
18:14:51.745,31.000000,DIMMD~F Temp
18:14:52.245,31.000000,DIMMD~F Temp
18:14:52.745,31.000000,DIMMD~F Temp
18:14:53.245,31.000000,DIMMD~F Temp
18:14:43.245,26.000000,Inlet Temp
18:14:43.745,26.000000,Inlet Temp
18:14:44.245,26.000000,Inlet Temp
18:14:44.745,26.000000,Inlet Temp
18:14:45.245,26.000000,Inlet Temp
18:14:45.745,26.000000,Inlet Temp
18:14:46.245,26.000000,Inlet Temp
18:14:46.745,26.000000,Inlet Temp
18:14:47.245,26.000000,Inlet Temp
18:14:47.745,26.000000,Inlet Temp
18:14:48.245,26.000000,Inlet Temp
18:14:48.745,26.000000,Inlet Temp
18:14:49.245,26.000000,Inlet Temp
18:14:49.745,26.000000,Inlet Temp
18:14:50.245,26.000000,Inlet Temp
18:14:50.745,26.000000,Inlet Temp
18:14:51.245,26.000000,Inlet Temp
18:14:51.745,26.000000,Inlet Temp
18:14:52.245,26.000000,Inlet Temp
18:14:52.745,26.000000,Inlet Temp
18:14:53.245,26.000000,Inlet Temp
18:14:43.171,22.000000,System Temp
18:14:43.671,22.000000,System Temp
18:14:44.171,22.000000,System Temp
18:14:44.671,22.000000,System Temp
18:14:45.171,22.000000,System Temp
18:14:45.671,22.000000,System Temp
18:14:46.171,22.000000,System Temp
18:14:46.671,22.000000,System Temp
18:14:47.171,22.000000,System Temp
18:14:47.671,22.000000,System Temp
18:14:48.171,22.000000,System Temp
18:14:48.671,22.000000,System Temp
18:14:49.171,22.000000,System Temp
18:14:49.671,22.000000,System Temp
18:14:50.171,22.000000,System Temp
18:14:50.671,22.000000,System Temp
18:14:51.171,22.000000,System Temp
18:14:51.671,22.000000,System Temp
18:14:52.171,22.000000,System Temp
18:14:52.671,22.000000,System Temp
18:14:53.171,22.000000,System Temp
18:14:53.671,22.000000,System Temp
18:14:43.171,39.000000,Peripheral Temp
18:14:43.671,39.000000,Peripheral Temp
18:14:44.171,39.000000,Peripheral Temp
18:14:44.671,39.000000,Peripheral Temp
