timestamp,value,__name__,instance,job,name,type
18:56:02.167,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:03.262,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:03.262,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:03.262,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:04.337,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:04.337,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:04.337,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:05.425,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:05.425,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:05.425,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
