timestamp,value,__name__,device,instance,job
18:55:54.446,5561133.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:55:54.446,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:55:55.547,5561140.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:55:55.547,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:55:56.623,5561147.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:55:56.623,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:55:57.715,5561154.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:55:57.715,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:55:58.894,5561161.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:55:58.894,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:55:59.985,5561168.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:55:59.985,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:01.072,5561182.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:01.072,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:02.167,5561189.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:02.167,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:03.262,5561196.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:03.262,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:04.338,5561203.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:04.338,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:05.410,5561210.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:05.410,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:06.604,5561217.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:06.604,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:07.675,5561224.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:07.675,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:08.742,5561231.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:08.742,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:09.817,5561238.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:09.817,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:10.889,5561245.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:10.889,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:11.964,5561252.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:11.964,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:13.049,5561259.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:13.049,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:14.273,5561273.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:14.273,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:15.360,5561280.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:15.360,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:16.439,5561287.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:16.439,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:17.505,5561294.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:17.505,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:18.870,5561301.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:18.870,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:19.969,5561308.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:19.969,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:21.078,5561322.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
18:56:21.078,0.000000,node_network_transmit_packets_total,lo,192.168.2.128:9100,node exporter
18:56:22.200,5561329.000000,node_network_transmit_packets_total,eth0,192.168.2.128:9100,node exporter
